PetID,PetType,Breed,Color,Size,Vaccinated,HealthCondition,PreviousOwner,AdoptionLikelihood,AgeMonths,WeightKg,TimeInShelterDays,AdoptionFee
500,0,2,3,0,1,0,0,0,0.7303370786516854,0.13878283289209364,0.29545454545454547,0.280561122244489
501,3,5,4,0,0,0,0,0,0.4044943820224719,0.5200091525125838,0.07954545454545454,0.47094188376753504
502,2,0,3,1,0,0,0,0,0.7584269662921348,0.036514221335100065,0.9545454545454546,0.7715430861723446
503,0,2,4,2,0,0,1,0,0.5393258426966292,0.0801045939366328,0.6818181818181819,0.4348697394789579
504,3,5,2,0,0,0,1,0,0.6853932584269663,0.6722439397453783,0.3068181818181818,0.028056112224448895
505,2,1,1,0,0,0,1,0,0.3876404494382022,0.6890901935000254,0.9772727272727273,0.6032064128256512
506,0,2,1,2,1,0,1,0,0.9438202247191011,0.3411073643391015,0.7840909090909092,0.8817635270541081
507,1,6,3,0,1,0,0,1,0.06741573033707865,0.21514969362751077,0.022727272727272724,0.2745490981963928
508,0,2,1,1,1,1,0,0,0.2696629213483146,0.8137160466595107,0.7727272727272727,0.8116232464929859
509,0,2,2,0,0,0,1,0,0.33146067415730335,0.21664432108126633,0.8181818181818182,0.4629258517034068
510,0,2,3,0,0,0,0,0,0.7247191011235955,0.5418212374129763,0.06818181818181818,0.17635270541082163
511,3,5,4,2,1,0,0,1,0.02247191011235955,0.9683349523520438,0.6704545454545455,0.9258517034068136
512,2,0,1,0,1,0,1,0,0.9606741573033707,0.14733959153343998,0.03409090909090909,0.15230460921843686
513,1,6,0,0,1,0,0,0,0.14606741573033705,0.940981090234984,0.045454545454545456,0.27054108216432865
514,1,3,1,1,1,0,0,1,0.8932584269662921,0.18240749911527598,0.11363636363636363,0.8096192384769538
515,3,5,4,2,1,0,1,0,0.8314606741573033,0.5672571718490049,0.15909090909090912,0.937875751503006
516,1,3,3,2,1,1,1,0,0.03932584269662921,0.37667334970501876,0.7159090909090909,0.8116232464929859
517,1,3,4,1,1,0,0,1,0.2752808988764045,0.9650521580836372,0.13636363636363638,0.21843687374749496
518,3,5,0,0,1,1,1,0,0.37078651685393255,0.27312707957075183,0.06818181818181818,0.7054108216432865
519,2,1,2,2,0,1,0,0,0.24157303370786515,0.39934128165198013,0.05681818181818181,0.6012024048096192
520,3,5,1,2,1,0,0,0,0.696629213483146,0.9829976409065887,0.625,0.18036072144288576
521,1,3,3,0,0,0,1,0,0.3202247191011236,0.5362602309586646,0.7159090909090909,0.8476953907815631
522,2,1,2,0,1,0,1,1,0.011235955056179775,0.5023935979344168,0.5568181818181819,0.7394789579158316
523,2,0,4,2,1,0,0,0,0.4775280898876404,0.2573512608926108,0.3295454545454546,0.8116232464929859
524,0,2,3,0,1,0,0,0,0.3876404494382022,0.7012818317954015,0.23863636363636365,0.8276553106212424
525,0,2,2,2,1,0,0,0,0.7247191011235955,0.013756141170776878,0.27272727272727276,0.3787575150300601
526,1,3,3,0,1,0,0,0,0.9606741573033707,0.04892318862864758,0.3068181818181818,0.1442885771543086
527,3,5,0,0,1,1,0,0,0.0056179775280898875,0.5991974091584866,0.9431818181818182,0.344689378757515
528,3,5,0,1,0,0,0,0,0.5674157303370786,0.34131269134940534,0.4318181818181818,0.06813627254509018
529,3,5,1,0,0,1,0,0,0.19101123595505615,0.9534308842691067,0.75,0.4188376753507014
530,0,2,1,1,1,0,0,1,0.5449438202247191,0.9032661609842854,0.045454545454545456,0.595190380761523
531,1,3,0,0,1,1,0,0,0.16292134831460675,0.7136341436218518,0.7272727272727273,0.26452905811623245
532,0,2,3,2,1,0,1,0,0.6460674157303371,0.8181548115971001,0.15909090909090912,0.565130260521042
533,1,6,0,2,1,0,0,1,0.03932584269662921,0.667223614590995,0.75,0.3947895791583166
534,3,5,1,0,1,0,0,0,0.8370786516853932,0.1250519104999575,0.44318181818181823,0.8917835671342684
535,0,2,0,0,0,0,1,0,0.24157303370786515,0.7655116294363566,0.7727272727272727,0.06212424849699398
536,3,5,0,2,1,0,1,0,0.19662921348314605,0.20972767729905012,0.8636363636363636,0.27054108216432865
537,3,5,3,0,0,0,0,0,0.42696629213483145,0.32306677234067727,0.4772727272727273,0.4949899799599198
